category,train_auc,test_auc,precision,recall,f1
hepatotoxicity,0.8533513447415797,0.9186786651861563,0.07487146529562982,0.8442028985507246,0.13754427390791027
nephrotoxicity,0.8891786925753519,0.9519621278521798,0.6778715296679368,0.8646068390904357,0.7599359218857273
bone_tooth,0.9397155378276058,0.9749489995024365,0.7290143685404588,0.9561911059679286,0.8272902810555675
hematologic,0.8515774908071194,0.9045025418730646,0.10142521101425211,0.8573099415204678,0.1813907448651324
neurologic,0.8043204759313923,0.8592549336621946,0.07391841779975278,0.8952095808383234,0.1365608586435259
